serial,start_sample,end_sample
32948939,71082053,71082284
32948940,71083562,71083793
32948941,71085072,71085303
32948942,71086582,71086813
32948943,71088092,71088323
32948944,71089601,71089832
32948945,71091111,71091342
32948946,71092620,71092851
32948947,71094130,71094361
32948948,71095639,71095870
32948949,71097149,71097380
32948950,71098658,71098889
32948951,71100168,71100399
32948952,71101678,71101909
32948953,71103188,71103419
32948954,71104697,71104928
32948955,71106207,71106438
32948956,71107716,71107947
32948957,71109225,71109456
32948958,71110735,71110966
32948959,71112245,71112476
32948960,71113754,71113985
32948961,71115264,71115495
32948962,71116774,71117005
32948963,71118284,71118515
32948964,71119793,71120024
32948965,71121302,71121533
32948966,71122812,71123043
32948967,71124321,71124552
32948968,71125831,71126062
32948969,71127341,71127572
32948970,71128850,71129081
32948971,71130360,71130591
32948972,71131869,71132100
32948973,71133378,71133609
32948974,71134888,71135119
32948975,71136397,71136628
32948976,71137906,71138137
32948977,71139416,71139647
32948978,71140926,71141157
32948979,71142435,71142666
32948980,71143945,71144176
32948981,71145454,71145685
32948982,71146964,71147195
32948983,71148473,71148704
32948984,71149982,71150213
32948985,71151492,71151723
32948986,71153001,71153232
32948987,71154511,71154742
32948988,71156020,71156251
32948989,71157530,71157761
32948990,71159040,71159271
32948991,71160549,71160780
32948992,71162058,71162289
32948993,71163568,71163799
32948994,71165077,71165308
32948995,71166586,71166817
32948996,71168096,71168327
32948997,71169605,71169836
32948998,71171115,71171346
32948999,71172625,71172856
32949000,71174134,71174365
32949001,71175644,71175875
32949002,71177153,71177384
32949003,71178662,71178893
32949004,71180172,71180403
32949005,71181681,71181912
32949006,71183190,71183421
32949007,71184700,71184931
32949008,71186210,71186441
32949009,71187719,71187950
32949010,71189229,71189460
32949011,71190739,71190970
32949012,71192249,71192480
32949013,71193758,71193989
32949014,71195267,71195498
32949015,71196777,71197008
32949016,71198286,71198517
32949017,71199795,71200026
32949018,71201305,71201536
32949019,71202814,71203045
32949020,71204325,71204556
32949021,71205834,71206065
32949022,71207343,71207574
32949023,71208853,71209084
32949024,71210362,71210593
32949025,71211871,71212102
32949026,71213381,71213612
32949027,71214890,71215121
