serial,start_sample,end_sample
32896102,226,457
32896096,1735,1966
32896104,3245,3476
32896104,4755,4986
32896106,6264,6495
32896104,7773,8004
32896108,9283,9514
32896108,10792,11023
32896110,12302,12533
32896032,13811,14042
32896112,15321,15552
32896112,16831,17062
32896114,18340,18571
32896112,19849,20080
32896116,21358,21589
32896116,22868,23099
32896118,24378,24609
32896016,25888,26119
32896120,27397,27628
32896120,28907,29138
32896122,30416,30647
32896024,31925,32156
32896124,33435,33666
32896012,34944,35175
32896014,36454,36685
32896000,37964,38195
32896128,39473,39704
32896128,40983,41214
32896130,42492,42723
32896128,44001,44232
32896132,45511,45742
32896132,47020,47251
32896134,48530,48761
32896128,50040,50271
32896136,51549,51780
32896136,53059,53290
32896138,54569,54800
32896136,56078,56309
32896140,57588,57819
32896140,59097,59328
32896134,60606,60837
32896128,62116,62347
32896144,63625,63856
32896144,65134,65365
32896146,66644,66875
32896144,68153,68384
32896148,69664,69895
32896148,71173,71404
32896150,72682,72913
32896144,74192,74423
32896152,75701,75932
32896152,77211,77442
32896154,78721,78952
32896152,80230,80461
32896156,81740,81971
32896144,83250,83481
32896142,84759,84990
32896128,86269,86500
32896160,87778,88009
32896160,89287,89518
32896162,90797,91028
32896160,92306,92537
32896164,93816,94047
32896164,95324,95555
32896166,96834,97065
32896160,98344,98575
32896168,99853,100084
32896168,101362,101593
32896170,102872,103103
32896168,104381,104612
32896172,105891,106122
32896172,107400,107631
32896174,108910,109141
32896128,110420,110651
32896176,111929,112160
32896176,113439,113670
32896178,114949,115180
32896176,116458,116689
32896180,117967,118198
32896180,119477,119708
32896178,120986,121217
32896176,122496,122727
32896184,124005,124236
32896184,125515,125746
32896186,127025,127256
32896152,128534,128765
32896188,130043,130274
32896140,131553,131784
32896142,133062,133293
32896128,134572,134803
32896192,136082,136313
32896192,137591,137822
32896194,139101,139332
32896192,140611,140842
32896196,142120,142351
32896196,143630,143861
32896196,145138,145369
32896192,146648,146879
32896200,148158,148389
32896200,149667,149898
32896202,151176,151407
32896192,152686,152917
32896204,154195,154426
32896204,155705,155936
32896198,157214,157445
32896192,158724,158955
32896208,160234,160465
32896208,161743,161974
32896210,163252,163483
32896208,164762,164993
32896212,166271,166502
32896212,167781,168012
32896214,169291,169522
32896208,170800,171031
32896216,172310,172541
32896216,173819,174050
32896218,175329,175560
32896208,176839,177070
32896220,178348,178579
32896204,179857,180088
32896206,181367,181598
32896192,182876,183107
32896224,184386,184617
32896224,185895,186126
32896226,187404,187635
32896224,188914,189145
32896228,190423,190654
32896228,191933,192164
32896230,193442,193673
32896224,194952,195183
32896232,196461,196692
32896232,197971,198202
32896234,199480,199711
32896232,200990,201221
32896236,202499,202730
32896236,204009,204240
32896226,205518,205749
32896160,207028,207259
32896240,208537,208768
32896240,210047,210278
32896242,211556,211787
32896240,213066,213297
32896244,214576,214807
32896244,216085,216316
32896246,217595,217826
32896176,219104,219335
32896248,220614,220845
32896248,222123,222354
32896248,223632,223863
32896136,225141,225372
32896252,226651,226882
32896140,228160,228391
32896128,229671,229902
32896128,231180,231411
32896256,232689,232920
32896256,234199,234430
32896258,235708,235939
32896256,237217,237448
32896260,238727,238958
32896260,240237,240468
32896262,241746,241977
32896256,243255,243486
32896264,244765,244996
32896264,246274,246505
32896266,247784,248015
32896264,249293,249524
32896268,250803,251034
32896268,252312,252543
32896262,253821,254052
32896256,255330,255561
32896272,256839,257070
32896272,258349,258580
32896274,259859,260090
32896272,261368,261599
32896276,262878,263109
32896276,264387,264618
32896278,265897,266128
32896272,267407,267638
32896280,268916,269147
32896280,270425,270656
32896282,271935,272166
32896264,273444,273675
32896284,274954,275185
32896268,276464,276695
32896270,277973,278204
32896256,279483,279714
32896288,280992,281223
32896288,282501,282732
32896290,284011,284242
32896288,285520,285751
32896292,287030,287261
32896292,288540,288771
32896294,290049,290280
32896288,291559,291790
32896296,293068,293299
32896296,294577,294808
32896298,296087,296318
32896296,297596,297827
32896300,299106,299337
32896300,300616,300847
32896302,302125,302356
32896256,303635,303866
32896304,305144,305375
32896304,306653,306884
32896306,308163,308394
32896304,309672,309903
32896308,311182,311413
32896304,312692,312923
32896310,314201,314432
32896256,315711,315942
32896312,317221,317452
32896312,318730,318961
32896314,320240,320471
32896264,321749,321980
32896316,323258,323489
32896268,324768,324999
32896262,326277,326508
32896256,327787,328018
32896320,329297,329528
32896320,330806,331037
32896322,332316,332547
32896320,333825,334056
32896324,335334,335565
32896324,336844,337075
32896326,338353,338584
32896320,339863,340094
32896328,341373,341604
32896328,342882,343113
32896330,344392,344623
32896328,345902,346133
32896332,347411,347642
32896328,348921,349152
32896334,350430,350661
32896320,351939,352170
32896336,353449,353680
32896336,354958,355189
32896338,356468,356699
32896336,357978,358209
32896340,359487,359718
32896340,360997,361228
32896342,362506,362737
32896336,364015,364246
32896344,365525,365756
32896344,367034,367265
32896346,368544,368775
32896336,370054,370285
32896348,371563,371794
32896332,373073,373304
32896334,374583,374814
32896256,376092,376323
32896352,377602,377833
32896352,379111,379342
32896354,380620,380851
32896352,382130,382361
32896356,383640,383871
32896356,385149,385380
32896358,386659,386890
32896352,388168,388399
32896360,389678,389909
32896360,391187,391418
32896362,392696,392927
32896360,394206,394437
32896364,395715,395946
32896364,397225,397456
32896366,398735,398966
32896352,400244,400475
32896368,401754,401985
32896368,403264,403495
32896370,404773,405004
32896368,406283,406514
32896372,407792,408023
32896372,409301,409532
32896374,410811,411042
32896272,412321,412552
32896376,413830,414061
32896376,415340,415571
32896378,416850,417081
32896264,418359,418590
32896380,419869,420100
32896268,421378,421609
32896270,422888,423119
32896256,424397,424628
32896384,425906,426137
32896384,427416,427647
32896386,428926,429157
32896384,430435,430666
32896388,431945,432176
32896388,433454,433685
32896390,434964,435195
32896384,436473,436704
32896392,437982,438213
32896392,439492,439723
32896394,441002,441233
32896392,442511,442742
32896396,444021,444252
32896396,445530,445761
32896398,447040,447271
32896384,448549,448780
32896400,450058,450289
32896400,451568,451799
32896402,453078,453309
32896400,454587,454818
32896404,456097,456328
32896404,457606,457837
32896406,459116,459347
32896400,460625,460856
32896408,462134,462365
32896408,463644,463875
32896410,465154,465385
32896392,466662,466893
32896412,468172,468403
32896412,469681,469912
32896398,471191,471422
32896384,472701,472932
32896416,474210,474441
32896416,475720,475951
32896416,477228,477459
32896416,478737,478968
32896420,480247,480478
32896420,481756,481987
32896422,483265,483496
32896416,484775,485006
32896424,486284,486515
32896424,487793,488024
32896426,489303,489534
32896424,490812,491043
32896428,492322,492553
32896428,493831,494062
32896422,495340,495571
32896416,496850,497081
32896432,498358,498589
32896432,499867,500098
32896434,501377,501608
32896432,502886,503117
32896436,504395,504626
32896436,505905,506136
32896438,507414,507645
32896432,508924,509155
32896440,510433,510664
32896440,511943,512174
32896442,513452,513683
32896392,514961,515192
32896444,516470,516701
32896396,517980,518211
32896398,519490,519721
32896384,520998,521229
32896448,522507,522738
32896448,524016,524247
32896450,525525,525756
32896448,527034,527265
32896452,528543,528774
32896452,530053,530284
32896454,531562,531793
32896448,533071,533302
32896456,534581,534812
32896456,536091,536322
32896458,537600,537831
32896448,539110,539341
32896460,540619,540850
32896456,542129,542360
32896454,543638,543869
32896448,545148,545379
32896464,546657,546888
32896464,548167,548398
32896466,549676,549907
32896464,551186,551417
32896468,552695,552926
32896468,554205,554436
32896470,555714,555945
32896464,557223,557454
32896472,558733,558964
32896472,560242,560473
32896474,561751,561982
32896456,563261,563492
32896476,564771,565002
32896460,566280,566511
32896536,568257,568488
32896538,569766,569997
32896528,571276,571507
32896540,572786,573017
32896524,574295,574526
32896518,575804,576035
32896512,577314,577545
32896544,578823,579054
32896544,580333,580564
32896546,581842,582073
32896544,583352,583583
32896548,584860,585091
32896548,586370,586601
32896550,587879,588110
32896544,589389,589620
32896552,590898,591129
32896552,592407,592638
32896554,593917,594148
32896544,595427,595658
32896556,596936,597167
32896556,598446,598677
32896558,599956,600187
32896544,601465,601696
32896560,602975,603206
32896560,604484,604715
32896562,605994,606225
32896560,607503,607734
32896564,609012,609243
32896564,610522,610753
32896566,612032,612263
32896528,613541,613772
32896568,615051,615282
32896568,616560,616791
32896570,618070,618301
32896536,619579,619810
32896572,621088,621319
32896524,622598,622829
32896526,624108,624339
32896512,625617,625848
32896576,627127,627358
32896576,628637,628868
32896578,630146,630377
32896576,631656,631887
32896580,633165,633396
32896580,634675,634906
32896582,636184,636415
32896576,637693,637924
32896584,639203,639434
32896584,640713,640944
32896586,642223,642454
32896584,643732,643963
32896588,645242,645473
32896588,646751,646982
32896590,648261,648492
32896576,649770,650001
32896592,651280,651511
32896592,652789,653020
32896594,654299,654530
32896592,655809,656040
32896596,657318,657549
32896596,658828,659059
32896598,660337,660568
32896592,661847,662078
32896600,663356,663587
32896600,664866,665097
32896602,666375,666606
32896600,667885,668116
32896604,669394,669625
32896588,670904,671135
32896590,672413,672644
32896512,673923,674154
32896608,675432,675663
32896608,676942,677173
32896610,678451,678682
32896608,679961,680192
32896612,681470,681701
32896612,682980,683211
32896614,684490,684721
32896608,685999,686230
32896616,687509,687740
32896616,689018,689249
32896618,690528,690759
32896608,692038,692269
32896620,693547,693778
32896620,695056,695287
32896622,696566,696797
32896544,698075,698306
32896624,699585,699816
32896624,701094,701325
32896626,702604,702835
32896624,704114,704345
32896628,705623,705854
32896628,707132,707363
32896630,708642,708873
32896528,710151,710382
32896632,711661,711892
32896632,713170,713401
32896634,714679,714910
32896520,716189,716420
32896636,717698,717929
32896540,719208,719439
32896518,720717,720948
32896512,722227,722458
32896640,723736,723967
32896640,725246,725477
32896642,726755,726986
32896640,728265,728496
32896644,729774,730005
32896644,731284,731515
32896646,732793,733024
32896640,734303,734534
32896648,735812,736043
32896648,737322,737553
32896650,738831,739062
32896648,740341,740572
32896652,741851,742082
32896652,743360,743591
32896654,744870,745101
32896640,746379,746610
32896656,747889,748120
32896656,749398,749629
32896658,750908,751139
32896656,752417,752648
32896660,753927,754158
32896660,755436,755667
32896656,756947,757178
32896656,758456,758687
32896664,759965,760196
32896664,761474,761705
32896666,762984,763215
32896664,764493,764724
32896668,766003,766234
32896652,767512,767743
32896654,769022,769253
32896640,770532,770763
32896672,772041,772272
32896672,773551,773782
32896674,775060,775291
32896672,776570,776801
32896676,778079,778310
32896676,779589,779820
32896672,781097,781328
32896672,782607,782838
32896680,784117,784348
32896680,785626,785857
32896682,787136,787367
32896680,788645,788876
32896684,790155,790386
32896684,791664,791895
32896678,793173,793404
32896672,794683,794914
32896688,796193,796424
32896688,797702,797933
32896690,799212,799443
32896688,800722,800953
32896692,802231,802462
32896692,803741,803972
32896694,805250,805481
32896688,806760,806991
32896696,808269,808500
32896696,809778,810009
32896698,811288,811519
32896648,812797,813028
32896700,814307,814538
32896652,815816,816047
32896654,817325,817556
32896640,818835,819066
32896704,820343,820574
32896704,821853,822084
32896706,823363,823594
32896704,824872,825103
32896708,826381,826612
32896708,827891,828122
32896710,829400,829631
32896704,830911,831142
32896712,832420,832651
32896712,833929,834160
32896714,835439,835670
32896712,836948,837179
32896716,838457,838688
32896716,839967,840198
32896710,841476,841707
32896704,842986,843217
32896720,844496,844727
32896720,846005,846236
32896722,847515,847746
32896720,849024,849255
32896724,850533,850764
32896724,852042,852273
32896726,853552,853783
32896720,855061,855292
32896728,856571,856802
32896728,858080,858311
32896730,859590,859821
32896712,861099,861330
32896732,862609,862840
32896716,864119,864350
32896718,865628,865859
32896640,867137,867368
32896736,868647,868878
32896736,870156,870387
32896738,871665,871896
32896736,873175,873406
32896740,874685,874916
32896740,876195,876426
32896742,877704,877935
32896736,879213,879444
32896744,880722,880953
32896744,882231,882462
32896746,883740,883971
32896736,885250,885481
32896748,886760,886991
32896748,888268,888499
32896750,889778,890009
32896672,891287,891518
