TimeStamps,chunk_serial,UTCTimeStamp
13726437,111090007,2025-10-01 19:09:47.667900
13727438,111090008,2025-10-01 19:09:47.701267
13728439,111090009,2025-10-01 19:09:47.734633
13729441,111090010,2025-10-01 19:09:47.768033
13730442,111090011,2025-10-01 19:09:47.801400
13731444,111090012,2025-10-01 19:09:47.834800
13732445,111090013,2025-10-01 19:09:47.868167
13733446,111090014,2025-10-01 19:09:47.901533
13734447,111090015,2025-10-01 19:09:47.934900
13735449,111090016,2025-10-01 19:09:47.968300
13736451,111090017,2025-10-01 19:09:48.001700
13737452,111090018,2025-10-01 19:09:48.035067
13738453,111090019,2025-10-01 19:09:48.068433
13739454,111090020,2025-10-01 19:09:48.101800
13740456,111090021,2025-10-01 19:09:48.135200
13741457,111090022,2025-10-01 19:09:48.168567
13742459,111090023,2025-10-01 19:09:48.201967
13743460,111090024,2025-10-01 19:09:48.235333
13744461,111090025,2025-10-01 19:09:48.268700
13745463,111090026,2025-10-01 19:09:48.302100
13746464,111090027,2025-10-01 19:09:48.335467
13747466,111090028,2025-10-01 19:09:48.368867
13748467,111090029,2025-10-01 19:09:48.402233
13749468,111090030,2025-10-01 19:09:48.435600
13750469,111090031,2025-10-01 19:09:48.468984
13751471,111090032,2025-10-01 19:09:48.502367
13752473,111090033,2025-10-01 19:09:48.535767
13753474,111090034,2025-10-01 19:09:48.569133
13754476,111090035,2025-10-01 19:09:48.602533
13755477,111090036,2025-10-01 19:09:48.635900
13756478,111090037,2025-10-01 19:09:48.669267
13757479,111090038,2025-10-01 19:09:48.702633
13758481,111090039,2025-10-01 19:09:48.736033
13759482,111090040,2025-10-01 19:09:48.769400
13760484,111090041,2025-10-01 19:09:48.802800
13761485,111090042,2025-10-01 19:09:48.836167
13762486,111090043,2025-10-01 19:09:48.869550
13763488,111090044,2025-10-01 19:09:48.902933
13764489,111090045,2025-10-01 19:09:48.936300
13765491,111090046,2025-10-01 19:09:48.969700
13766492,111090047,2025-10-01 19:09:49.003067
13767493,111090048,2025-10-01 19:09:49.036433
13768495,111090049,2025-10-01 19:09:49.069833
13769496,111090050,2025-10-01 19:09:49.103200
13770497,111090051,2025-10-01 19:09:49.136567
13771498,111090052,2025-10-01 19:09:49.169933
13772500,111090053,2025-10-01 19:09:49.203333
13773501,111090054,2025-10-01 19:09:49.236700
13774503,111090055,2025-10-01 19:09:49.270100
13775504,111090056,2025-10-01 19:09:49.303467
13776505,111090057,2025-10-01 19:09:49.336833
13777507,111090058,2025-10-01 19:09:49.370233
13778508,111090059,2025-10-01 19:09:49.403600
13779509,111090060,2025-10-01 19:09:49.436967
13780510,111090061,2025-10-01 19:09:49.470350
13781512,111090062,2025-10-01 19:09:49.503733
13782513,111090063,2025-10-01 19:09:49.537100
13783515,111090064,2025-10-01 19:09:49.570500
13784516,111090065,2025-10-01 19:09:49.603867
13785517,111090066,2025-10-01 19:09:49.637233
13786519,111090067,2025-10-01 19:09:49.670633
13787520,111090068,2025-10-01 19:09:49.704000
13788522,111090069,2025-10-01 19:09:49.737400
13789523,111090070,2025-10-01 19:09:49.770767
13790524,111090071,2025-10-01 19:09:49.804133
13791525,111090072,2025-10-01 19:09:49.837500
13792527,111090073,2025-10-01 19:09:49.870900
13793528,111090074,2025-10-01 19:09:49.904267
13794529,111090075,2025-10-01 19:09:49.937633
13795530,111090076,2025-10-01 19:09:49.971017
13796532,111090077,2025-10-01 19:09:50.004400
13797533,111090078,2025-10-01 19:09:50.037767
13798534,111090079,2025-10-01 19:09:50.071133
13799536,111090080,2025-10-01 19:09:50.104533
13800537,111090081,2025-10-01 19:09:50.137900
13801538,111090082,2025-10-01 19:09:50.171267
13802540,111090083,2025-10-01 19:09:50.204667
13803541,111090084,2025-10-01 19:09:50.238033
13804542,111090085,2025-10-01 19:09:50.271400
13805543,111090086,2025-10-01 19:09:50.304767
13806545,111090087,2025-10-01 19:09:50.338167
13807546,111090088,2025-10-01 19:09:50.371533
13808548,111090089,2025-10-01 19:09:50.404933
13809549,111090090,2025-10-01 19:09:50.438300
13810550,111090091,2025-10-01 19:09:50.471667
13811552,111090092,2025-10-01 19:09:50.505067
13812553,111090093,2025-10-01 19:09:50.538433
13813554,111090094,2025-10-01 19:09:50.571800
13814556,111090095,2025-10-01 19:09:50.605200
13815557,111090096,2025-10-01 19:09:50.638567
13816558,111090097,2025-10-01 19:09:50.671933
13817560,111090098,2025-10-01 19:09:50.705333
13818562,111090099,2025-10-01 19:09:50.738733
13819563,111090100,2025-10-01 19:09:50.772100
13820564,111090101,2025-10-01 19:09:50.805467
13821565,111090102,2025-10-01 19:09:50.838833
13822567,111090103,2025-10-01 19:09:50.872233
13823568,111090104,2025-10-01 19:09:50.905600
13824570,111090105,2025-10-01 19:09:50.939000
13825571,111090106,2025-10-01 19:09:50.972367
13826572,111090107,2025-10-01 19:09:51.005733
13827574,111090108,2025-10-01 19:09:51.039133
13828575,111090109,2025-10-01 19:09:51.072500
13829577,111090110,2025-10-01 19:09:51.105900
13830578,111090111,2025-10-01 19:09:51.139267
13831579,111090112,2025-10-01 19:09:51.172633
13832580,111090113,2025-10-01 19:09:51.206000
13833581,111090114,2025-10-01 19:09:51.239367
13834583,111090115,2025-10-01 19:09:51.272767
13835584,111090116,2025-10-01 19:09:51.306133
13836586,111090117,2025-10-01 19:09:51.339533
13837587,111090118,2025-10-01 19:09:51.372900
13838589,111090119,2025-10-01 19:09:51.406300
13839590,111090120,2025-10-01 19:09:51.439667
13840591,111090121,2025-10-01 19:09:51.473033
13841592,111090122,2025-10-01 19:09:51.506400
13842593,111090123,2025-10-01 19:09:51.539784
13843595,111090124,2025-10-01 19:09:51.573167
13844596,111090125,2025-10-01 19:09:51.606533
13845598,111090126,2025-10-01 19:09:51.639933
13846599,111090127,2025-10-01 19:09:51.673300
13847601,111090128,2025-10-01 19:09:51.706700
13848602,111090129,2025-10-01 19:09:51.740067
13849603,111090130,2025-10-01 19:09:51.773433
13850605,111090131,2025-10-01 19:09:51.806833
13851606,111090132,2025-10-01 19:09:51.840200
13852607,111090133,2025-10-01 19:09:51.873567
13853608,111090134,2025-10-01 19:09:51.906933
13854610,111090135,2025-10-01 19:09:51.940333
13855611,111090136,2025-10-01 19:09:51.973700
13856613,111090137,2025-10-01 19:09:52.007100
13857614,111090138,2025-10-01 19:09:52.040467
13858615,111090139,2025-10-01 19:09:52.073833
13859616,111090140,2025-10-01 19:09:52.107200
13860617,111090141,2025-10-01 19:09:52.140567
13861619,111090142,2025-10-01 19:09:52.173967
13862620,111090143,2025-10-01 19:09:52.207333
13863622,111090144,2025-10-01 19:09:52.240733
13864623,111090145,2025-10-01 19:09:52.274100
13865624,111090146,2025-10-01 19:09:52.307467
13866625,111090147,2025-10-01 19:09:52.340833
13867627,111090148,2025-10-01 19:09:52.374233
13868629,111090149,2025-10-01 19:09:52.407633
13869630,111090150,2025-10-01 19:09:52.441000
13870631,111090151,2025-10-01 19:09:52.474367
13871632,111090152,2025-10-01 19:09:52.507733
13872634,111090153,2025-10-01 19:09:52.541133
13873635,111090154,2025-10-01 19:09:52.574500
13874636,111090155,2025-10-01 19:09:52.607867
13875638,111090156,2025-10-01 19:09:52.641267
13876639,111090157,2025-10-01 19:09:52.674633
13877641,111090158,2025-10-01 19:09:52.708033
13878642,111090159,2025-10-01 19:09:52.741400
13879643,111090160,2025-10-01 19:09:52.774767
13880644,111090161,2025-10-01 19:09:52.808133
13881646,111090162,2025-10-01 19:09:52.841533
13882647,111090163,2025-10-01 19:09:52.874900
13883649,111090164,2025-10-01 19:09:52.908300
13884651,111090165,2025-10-01 19:09:52.941700
13885652,111090166,2025-10-01 19:09:52.975067
13886653,111090167,2025-10-01 19:09:53.008433
13887654,111090168,2025-10-01 19:09:53.041800
13888656,111090169,2025-10-01 19:09:53.075200
13889657,111090170,2025-10-01 19:09:53.108567
13890658,111090171,2025-10-01 19:09:53.141933
13891660,111090172,2025-10-01 19:09:53.175333
13892661,111090173,2025-10-01 19:09:53.208700
13893662,111090174,2025-10-01 19:09:53.242067
13894663,111090175,2025-10-01 19:09:53.275433
13895665,111090176,2025-10-01 19:09:53.308833
13896666,111090177,2025-10-01 19:09:53.342200
13897668,111090178,2025-10-01 19:09:53.375600
13898669,111090179,2025-10-01 19:09:53.408967
13899670,111090180,2025-10-01 19:09:53.442333
13900672,111090181,2025-10-01 19:09:53.475733
13901673,111090182,2025-10-01 19:09:53.509100
13902674,111090183,2025-10-01 19:09:53.542467
13903675,111090184,2025-10-01 19:09:53.575850
13904677,111090185,2025-10-01 19:09:53.609233
13905678,111090186,2025-10-01 19:09:53.642600
13906680,111090187,2025-10-01 19:09:53.676000
13907681,111090188,2025-10-01 19:09:53.709367
13908682,111090189,2025-10-01 19:09:53.742733
13909684,111090190,2025-10-01 19:09:53.776133
13910685,111090191,2025-10-01 19:09:53.809500
13911687,111090192,2025-10-01 19:09:53.842900
13912688,111090193,2025-10-01 19:09:53.876267
13913689,111090194,2025-10-01 19:09:53.909633
13914690,111090195,2025-10-01 19:09:53.943000
13915692,111090196,2025-10-01 19:09:53.976400
13916694,111090197,2025-10-01 19:09:54.009800
13917695,111090198,2025-10-01 19:09:54.043167
13918696,111090199,2025-10-01 19:09:54.076533
13919697,111090200,2025-10-01 19:09:54.109900
13920699,111090201,2025-10-01 19:09:54.143300
13921700,111090202,2025-10-01 19:09:54.176667
13922702,111090203,2025-10-01 19:09:54.210067
13923703,111090204,2025-10-01 19:09:54.243433
13924704,111090205,2025-10-01 19:09:54.276800
13925706,111090206,2025-10-01 19:09:54.310200
13926707,111090207,2025-10-01 19:09:54.343567
13927709,111090208,2025-10-01 19:09:54.376967
13928710,111090209,2025-10-01 19:09:54.410333
13929711,111090210,2025-10-01 19:09:54.443700
13930712,111090211,2025-10-01 19:09:54.477067
13931713,111090212,2025-10-01 19:09:54.510433
13932715,111090213,2025-10-01 19:09:54.543833
13933717,111090214,2025-10-01 19:09:54.577233
13934718,111090215,2025-10-01 19:09:54.610600
13935719,111090216,2025-10-01 19:09:54.643967
13936721,111090217,2025-10-01 19:09:54.677367
13937722,111090218,2025-10-01 19:09:54.710733
13938724,111090219,2025-10-01 19:09:54.744133
13939725,111090220,2025-10-01 19:09:54.777500
13940726,111090221,2025-10-01 19:09:54.810867
13941728,111090222,2025-10-01 19:09:54.844267
13942729,111090223,2025-10-01 19:09:54.877633
13943731,111090224,2025-10-01 19:09:54.911033
13944732,111090225,2025-10-01 19:09:54.944400
13945734,111090226,2025-10-01 19:09:54.977800
13946735,111090227,2025-10-01 19:09:55.011167
13947736,111090228,2025-10-01 19:09:55.044533
13948738,111090229,2025-10-01 19:09:55.077933
13949739,111090230,2025-10-01 19:09:55.111300
13950740,111090231,2025-10-01 19:09:55.144667
13951741,111090232,2025-10-01 19:09:55.178033
13952743,111090233,2025-10-01 19:09:55.211433
13953744,111090234,2025-10-01 19:09:55.244800
13954746,111090235,2025-10-01 19:09:55.278200
13955747,111090236,2025-10-01 19:09:55.311567
13956748,111090237,2025-10-01 19:09:55.344933
13957749,111090238,2025-10-01 19:09:55.378300
13958750,111090239,2025-10-01 19:09:55.411667
13959752,111090240,2025-10-01 19:09:55.445067
